itemLabel,ICAO_airport_code,countryLabel,located_in_the_administrative_territorial_entityLabel,coordinate_location
Charlotte/Douglas International Airport,KCLT,United States of America,Charlotte,Point(-80.943055555 35.213888888)
Ernesto Cortissoz International Airport,SKBQ,Colombia,Atlántico Department,Point(-74.781766666 10.888569444)
Zakynthos International Airport,LGZA,Greece,Zakynthos,Point(20.884166666 37.750833333)
Heathrow Airport,EGLL,United Kingdom,London Borough of Hillingdon,Point(-0.461389 51.4775)
Minneapolis–Saint Paul International Airport,KMSP,United States of America,Fort Snelling,Point(-93.221666666 44.881944444)
Haikou Meilan International Airport,ZJHK,People's Republic of China,Haikou,Point(110.458888888 19.934722222)
Stockholm Bromma Airport,ESSB,Sweden,Stockholm Municipality,Point(17.939722222 59.354444444)
Sydney Airport,YSSY,Australia,New South Wales,Point(151.1761111 -33.948333333)
Lynden Pindling International Airport,MYNN,The Bahamas,New Providence District,Point(-77.466111111 25.038888888)
Shah Amanat International Airport,VGEG,Bangladesh,Patenga,Point(91.813333333 22.249722222)
Port Harcourt International Airport,DNPO,Nigeria,Rivers State,Point(6.949444444 5.015277777)
Ahmed Sekou Toure International Airport,GUCY,Guinea,Conakry,Point(-13.611944 9.576889)
Osaka International Airport,RJOO,Japan,Ikeda,Point(135.438222222 34.785527777)
Governador Jorge Teixeira de Oliveira International Airport,SBPV,Brazil,Rondônia,Point(-63.902777777 -8.713611111)
John Glenn Columbus International Airport,KCMH,United States of America,Columbus,Point(-82.891944444 39.998055555)
Nuremberg Airport,EDDN,Germany,Nuremberg,Point(11.078055555 49.498611111)
Hang Nadim Airport,WIDD,Indonesia,Batam,Point(104.118611111 1.120833333)
Salt Lake City International Airport,KSLC,United States of America,Utah,Point(-111.977777777 40.788333333)
Taoyuan International Airport,RCTP,Taiwan,Dayuan District,Point(121.223888888 25.076388888)
Brussels Airport,EBBR,Belgium,Steenokkerzeel,Point(4.484444444 50.901388888)
London International Airport,CYXU,Canada,London,Point(-81.1511 43.0331)
Jose Joaquin de Olmedo International Airport,SEGU,Ecuador,Guayas Province,Point(-79.883611111 -2.1575)
Tabriz International Airport,OITT,Iran,Tabriz,Point(46.235 38.133888888)
Osaka International Airport,RJOO,Japan,Itami,Point(135.438222222 34.785527777)
Dalaman Airport,LTBS,Turkey,Dalaman,Point(28.792778 36.714722)
Sultan Syarif Kasim II Airport,WIBB,Indonesia,Pekanbaru,Point(101.444444444 0.460833333)
Brussels Airport,EBBR,Belgium,Machelen,Point(4.484444444 50.901388888)
Riga International Airport,EVRA,Latvia,Mārupe Parish,Point(23.970833333 56.920833333)
Sultan Mahmud Badaruddin II International Airport,WIPP,Indonesia,Palembang,Point(104.7 -2.900277777)
Nashville International Airport,KBNA,United States of America,Nashville,Point(-86.681944444 36.126666666)
Val de Cans International Airport,SBBE,Brazil,Belem,Point(-48.47889 -1.38472)
Stockholm Bromma Airport,ESSB,Sweden,Bromma city district,Point(17.939722222 59.354444444)
Manas International Airport,UCFM,Kyrgyzstan,Chuy Region,Point(74.477508333 43.061272222)
Muan International Airport,RKJB,South Korea,Muan County,Point(126.382813888 34.991405555)
Kemerovo International Airport,UNEE,Russia,Kemerovo,Point(86.11 55.271666666)
Tirana International Airport Nënë Tereza,LATI,Albania,Kamëz,Point(19.720555555 41.414722222)
Kenneth Kaunda International Airport,FLKK,Zambia,Lusaka,Point(28.4525 -15.330555555)
Rio de Janeiro/Galeão – Antonio Carlos Jobim International Airport,SBGL,Brazil,Rio de Janeiro,Point(-43.250555555 -22.81)
Monseñor oscar Arnulfo Romero International Airport,MSLP,El Salvador,San Luis Talpa,Point(-89.055727777 13.440947222)
Ellinikon International Airport,LGAT,Greece,South Athens Regional Unit,Point(23.729444444 37.898333333)
Afonso Pena International Airport,SBCT,Brazil,Paraná,Point(-49.176111111 -25.531666666)
Faa'a International Airport,NTAA,France,Faʻaʻā,Point(-149.611388888 -17.556666666)
Minsk National Airport,UMMS,Belarus,Minsk Region,Point(28.0325 53.8825)
Juan Santamaria International Airport,MROC,Costa Rica,Rio Segundo,Point(-84.208888888 9.993888888)
Albany International Airport,KALB,United States of America,Colonie,Point(-73.801944444 42.749166666)
Doncaster Sheffield Airport,EGCN,United Kingdom,Finningley,Point(-1.004166666 53.475277777)
Perth Airport,YPPH,Australia,City of Belmont,Point(115.966944444 -31.940277777)
Soekarno–Hatta International Airport,WIII,Indonesia,Banten,Point(106.653833 -6.127361)
Ted Stevens Anchorage International Airport,PANC,United States of America,Anchorage,Point(-149.998 61.1742)
U-Tapao International Airport,VTBU,Thailand,Phla,Point(101.004917 12.679612)
Vnukovo International Airport,UUWW,Russia,Vnukovo,Point(37.2675 55.596111111)
Rio de Janeiro/Galeão – Antonio Carlos Jobim International Airport,SBGL,Brazil,Galeão,Point(-43.250555555 -22.81)
Domodedovo International Airport,UUDD,Soviet Union,Domodedovsky District,Point(37.906111111 55.408611111)
O'Hare International Airport,KORD,United States of America,Chicago,Point(-87.904722222 41.978611111)
El Nouzha Airport,HEAX,Egypt,Alexandria Governorate,Point(29.948889 31.183889)
Hobart Airport,YMHB,Australia,Tasmania,Point(147.510278 -42.836112)
King Shaka International Airport,FALE,South Africa,La Mercy,Point(31.116388888 -29.614444444)
Beijing Capital International Airport,ZBAA,People's Republic of China,Beijing,Point(116.584444444 40.08)
Hobart Airport,YMHB,Australia,City of Clarence,Point(147.510278 -42.836112)
Sharjah International Airport,OMSJ,United Arab Emirates,Emirate of Sharjah,Point(55.517222222 25.328611111)
Tianjin Binhai International Airport,ZBTJ,People's Republic of China,Dongli District,Point(117.346111111 39.124444444)
Liverpool John Lennon Airport,EGGP,United Kingdom,Speke,Point(-2.849722222 53.333611111)
Kempegowda International Airport,VOBL,India,Devanahalli,Point(77.705555555 13.198888888)
Auckland Airport,NZAA,New Zealand,Auckland,Point(174.791666666 -37.008055555)
Wien-Schwechat Airport,LOWW,Austria,Schwechat,Point(16.569722 48.110278)
Lviv Danylo Halytskyi International Airport,UKLL,Ukraine,Lviv Oblast,Point(23.956111111 49.8125)
Beijing Capital International Airport,ZBAA,People's Republic of China,Chaoyang District,Point(116.584444444 40.08)
Tirana International Airport Nënë Tereza,LATI,Albania,Durrës County,Point(19.720555555 41.414722222)
Zahedan Airport,OIZH,Iran,Zahedan,Point(60.906188888 29.475686111)
London Stansted Airport,EGSS,United Kingdom,Stansted Mountfitchet,Point(0.235 51.885)
Fuzhou Changle International Airport,ZSFZ,People's Republic of China,Zhanggang Subdistrict,Point(119.663333333 25.935)
Alicante Airport,LEAL,Spain,Alicante Province,Point(-0.558055555 38.282222222)
King Fahd International Airport,OEDF,Saudi Arabia,Eastern Province,Point(49.797777777 26.471111111)
Tirana International Airport Nënë Tereza,LATI,Albania,Krujë Municipality,Point(19.720555555 41.414722222)
Libreville International Airport,FOOL,Gabon,Estuaire Province,Point(9.412222 0.458611)
Bandaranaike International Airport,VCBI,Sri Lanka,Western Province,Point(79.883611111 7.181111111)
Wilkes-Barre/Scranton International Airport,KAVP,United States of America,Pittston Township,Point(-75.723333333 41.338333333)
Juan Santamaria International Airport,MROC,Costa Rica,Guácima,Point(-84.208888888 9.993888888)
Brasilia International Airport,SBBR,Brazil,Lago Sul,Point(-47.918611111 -15.871111111)
Newcastle International Airport,EGNT,United Kingdom,Woolsington,Point(-1.691666666 55.0375)
Adisumarmo International Airport,WAHQ,Indonesia,Boyolali,Point(110.756944444 -7.516111111)
Vnukovo International Airport,UUWW,Soviet Union,Vnukovo,Point(37.2675 55.596111111)
Sir Seewoosagur Ramgoolam International Airport,FIMP,Mauritius,Port Louis,Point(57.683022222 -20.430027777)
Canberra International Airport,YSCB,Australia,Canberra,Point(149.195 -35.306944444)
Phuket International Airport,VTSP,Thailand,Mai Khao,Point(98.316944 8.113333)
Melbourne Airport,YMML,Australia,Victoria,Point(144.843333333 -37.673333333)
Tirana International Airport Nënë Tereza,LATI,Albania,Tirana County,Point(19.720555555 41.414722222)
Melbourne Airport,YMML,Australia,City of Hume,Point(144.843333333 -37.673333333)
Taipei Songshan Airport,RCSS,Taiwan,Songshan District,Point(121.551666666 25.069444444)
Tbilisi International Airport,UGTB,Georgia,Tbilisi,Point(44.954722222 41.669166666)
Exeter Airport,EGTE,United Kingdom,South West England,Point(-3.413888888 50.734444444)
Hualien Airport,RCYU,Taiwan,Xincheng,Point(121.617777777 24.023055555)
Luis Muñoz Marin International Airport,TJSJ,United States of America,Carolina,Point(-66.001944444 18.439166666)
Bordeaux–Merignac Airport,LFBD,France,Merignac,Point(-0.715556 44.828333)
Madeira Airport,LPMA,Portugal,Santa Cruz,Point(-16.778055555 32.694166666)
Indianapolis International Airport,KIND,United States of America,Indianapolis,Point(-86.294444 39.717222)
Sultan Aji Muhammad Sulaiman Airport,WALL,Indonesia,Balikpapan,Point(116.894444444 -1.268333333)
Las Americas International Airport,MDSD,Dominican Republic,"La Caleta, Santo Domingo",Point(-69.668925 18.429663)
LaGuardia Airport,KLGA,United States of America,Queens,Point(-73.875 40.775)
General Roberto Fierro Villalobos International Airport,MMCU,Mexico,Chihuahua City,Point(-105.963888 28.702778)
Perth Airport,YPPH,Australia,City of Swan,Point(115.966944444 -31.940277777)
Munster Osnabruck International Airport,EDDG,Germany,Greven,Point(7.68483 52.134642)
Trondheim Airport,ENVA,Norway,Stjørdal,Point(10.924166666 63.4575)
Bournemouth Airport,EGHH,United Kingdom,Hurn,Point(-1.8425 50.78)
Abeid Amani Karume International Airport,HTZA,Tanzania,Unguja,Point(39.225 -6.222222222)
Muscat International Airport,OOMS,Oman,Muscat Governorate,Point(58.28692 23.60096)
Dublin Airport,EIDW,Republic of Ireland,County Fingal,Point(-6.27 53.421388888)
